302,140
318,150
121,112
121,76
120,87
96,69
122,86
97,92
120,97
98,80
97,88
350,175
304,150
350,145
302,137
318,150
429,198
400,150
351,158
318,150
440,215
455,225
360,175
225,105
250,100
232,100
250,88
198,95
97,46
400,150
400,167
360,170
350,180
232,100
97,88
140,72
108,94
70,90
122,85
155,107
98,90
350,145
400,230
68,49
116,75
114,91
121,112
318,150
121,110
156,122
350,180
198,95
200,121
232,100
250,100
79,67
122,80
71,65
140,75
250,100
258,110
225,105
302,140
350,150
318,150
302,140
304,150
98,83
79,67
97,78
76,52
83,61
90,75
90,75
116,75
120,97
108,93
79,67
225,95
250,105
250,72
250,72
400,170
350,145
318,150
351,148
231,110
250,105
258,110
225,95
231,110
262,110
302,129
97,75
140,83
232,100
140,78
134,96
90,71
119,97
171,97
90,70
232,90
115,95
120,88
121,98
121,115
91,53
107,86
116,81
140,92
98,79
101,83
305,140
318,150
304,120
351,152
225,100
250,105
200,81
232,90
85,52
98,60
90,70
91,53
225,100
250,78
250,110
258,95
97,71
85,70
97,75
140,72
130,102
318,150
120,88
156,108
168,120
350,180
350,145
302,130
318,150
98,68
111,80
79,58
122,96
85,70
305,145
260,110
318,145
302,130
250,110
231,105
225,100
250,98
400,180
350,170
400,190
351,149
97,78
151,88
97,75
140,89
98,63
98,83
97,67
97,78
146,97
121,110
80,110
90,48
98,66
78,52
85,70
91,60
260,110
318,140
302,139
231,105
200,95
200,85
140,88
225,100
232,90
231,105
200,85
225,110
258,120
305,145
231,165
302,139
318,140
98,68
134,95
119,97
105,75
134,95
156,105
151,85
119,97
131,103
163,125
121,115
163,133
89,71
98,68
231,115
200,85
140,88
232,90
225,110
305,130
302,129
351,138
318,135
350,155
351,142
267,125
360,150
89,71
86,65
98,80
121,80
183,77
350,125
141,71
260,90
105,70
105,70
85,65
91,69
151,90
173,115
173,115
151,90
98,76
89,60
98,70
86,65
151,90
140,88
151,90
225,90
97,78
134,90
120,75
119,92
108,75
86,65
156,105
85,65
90,48
90,48
121,67
146,67
91,67
85,66
97,67
89,62
168,132
70,100
122,88
140,66
107,72
135,84
151,84
156,92
173,110
135,84
79,58
86,64
81,60
97,67
85,65
89,62
91,68
105,63
98,65
98,65
105,74
107,75
108,75
119,100
120,74
141,80
121,110
145,76
168,116
146,120
231,110
350,105
200,88
225,85
112,88
112,88
112,88
112,85
135,84
151,90
140,92
151,86
105,74
91,68
91,68
105,63
98,70
120,88
107,75
108,70
91,67
91,67
91,67
181,110
262,85
156,92
232,112
144,96
135,84
151,90
140,86
97,52
135,84
120,79
119,82
